Company Name,Job Title / Department (Aug 16-29 where public),Location / Vacancy Info,Walk-in or Direct Vacancy,Official / Public Apply or Contact Source,Public Recruitment / Careers Email,Public Phone,Eligibility / Salary,Two-Year QA Tablet Profile Match,Research Note
Gujarat Themis Biosyn Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://nsearchives.nseindia.com/corporate/GUJARATTHEMIS_26052026184426_NewspaperResultsGTBL31032026.pdf,hrm@gtbl.in.net,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Harman Finochem Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://harmanfinochem.com/careers/,careers@harmanfinochem.com,+91 22 26528080 (https://harmanfinochem.com/get-in-touch/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
HealthBiotech Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://healthbiotech.in/careers/,hrm@healthbiotech.in,+91 987 688 2973 (https://healthbiotech.in/careers/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hema Laboratories Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://hemalaboratories.com/careers.php,hr@hemalaboratories.com,+91 9640440365 (https://hemalaboratories.com/contact.php),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hetero Biopharma Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.hetero.com/life-at-hetero,talent@hetero.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hetero Drugs Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.hetero.com/life-at-hetero,talent@hetero.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hetero Healthcare Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.heterohealthcare.com/help,hr@heterohealthcare.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hikal Ltd.,Officer Production walk-in / job posting on 17–19 August 2026,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.hikal.com/page/visit-us,hr@hikal.com,Not publicly verified,"1–5 Yrs, 1–5.5 Lacs PA",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hindustan Antibiotics Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.indiacustomercare.com/hindustan-antibiotics-limited-hal,halper.rec@gmail.com,"020-27425968, https://www.indiacustomercare.com/hindustan-antibiotics-limited-hal",Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hindustan Unilever Ltd. (Health & Wellbeing),Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.unilevernotices.com/recruitment-notices/india-english.html,hul.recruitment@unilever.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Hiral Labs Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://hirallabs.com/contact.php,hr@hirallabs.com,+91 9634949248 (https://hirallabs.com/contact.php),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
HLL Lifecare Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.lifecarehll.com/career,career@lifecarehll.com,+91-471 2354949 (https://www.lifecarehll.com/contact),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
HOF Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://hofpharma.com/career/,hr@hofpharma.com; recruitment@hofpharma.com,+91 6353534507 (https://in.linkedin.com/company/hof-pharma-ltd),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
HOF Pharmaceuticals Ltd. (HOF Pharma),"IPQA Officer / Executive vacancy published on August 14, 2026 for Sanand, Ahmedabad, Gujarat facility",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmajobspost.in/hof-pharma-recruitment-2026-ipqa-officer-executive-engineering-manager-jobs-in-ahmedabad/ ; https://hofpharma.com/career/ ; https://in.linkedin.com/company/hof-pharma-ltd,recruitment@hofpharma.com,+91 6353534507 (Source: https://in.linkedin.com/company/hof-pharma-ltd),B.Pharm / M.Pharm with 1–4 years of relevant IPQA/Quality Assurance experience; Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Horizon Biologicals,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
HPMC (Himachal Pradesh) Pharma,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ichor Biologics Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://ichor.in/career/,resumes@ichor.in,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ikon Remedies Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://ikonremedies.com/contact-us/,hr@ikonremedies.com,+91 84848 60669 / +91 89564 61426 (https://ikonremedies.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ind-Swift Laboratories Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.indswiftgroup.com/contact-us/,hr.ho@indswiftlabs.com,+91-7087978441 (https://www.indswiftgroup.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ind-Swift Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.indswiftgroup.com/contact-us/,hr.ho@indswiftlabs.com,0172-5061850 (https://www.indswiftgroup.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Indian Immunologicals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.indimmune.com/careers/job-opportunities/,careers@indimmune.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Indoco Remedies Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.indoco.com/hr-careers.asp,career@indoco.com; hrd2@indoco.com,08326624209 / 7391054322 - https://www.indoco.com/hr-recruitments-Goa-II.asp,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Inga Laboratories Pvt. Ltd.,"QA Chemist role (Quality Assurance), active until August 23, 2026, located in Chennai, India (Source: https://bebee.com/in/jobs/qa-chemist-inga-laboratories-chennai--theirstack-737848203)",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Minimum 2 years experience required; Compensation details not publicly stated (Source: https://bebee.com/in/jobs/qa-chemist-inga-laboratories-chennai--theirstack-737848203),Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Innova Captab Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.innovacaptab.com/careers.php,mail@innovacaptab.com,+91 22 6794 4000 (https://www.innovacaptab.com/contact-us.php),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Intas Pharmaceuticals Ltd.,"Walk-In Drive on August 23, 2026 for OSD Manufacturing, OSD Packing, QA IPQA, QC, and Engineering at Intas Pharmez, Ahmedabad, Gujarat (Source: https://pharmabharat.com/intas-pharma-is-hiring-for-manufacturing-packing-qa-qc-and-engineering/)",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.intaspharma.com/careers/ ; https://www.intaspharma.com/contact-us/ ; https://pharmabharat.com/intas-pharma-is-hiring-for-manufacturing-packing-qa-qc-and-engineering/,hrd_matoda@intaspharma.com,+91 79 6157 7000 (https://www.intaspharma.com/contact-us/),"Qualification: M.Sc., M.Pharm., B.Pharm., Diploma, ITI, B.E., B.Tech., M.E., M.Tech.; Experience: 1 to 10 years; Salary/CTC: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Invision Medi Sciences Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,"Experience: 3 years, Salary: Rs. 25,000 – 35,000 per month (Source: https://www.invisionmedi.com/jobs/business-development-executive/)",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ipca Laboratories Ltd.,"Walk-in interview on 16 August 2026 for Production, Pilot Plant, Engineering & QC (Apprentice/Trainee/Chemist/Technician/Officer/Sr. Officer); Walk-in interview on 23 August 2026 for Bio-manufacturing roles in QA (5-9 yrs), QC (5-9 yrs), Drug Substance & Product Manufacturing, Engineering & Maintenance, and Mammalian Pilot; QA QMS opening (1-3 yrs, B.Pharm/M.Pharm) with application deadline 20 August 2026.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.ipca.com/job-opportunities-in-pharmaceutical-companies/,hrd.mumbai@ipca.com,Not publicly verified,"Experience: 0 to 12 years (specifically 1-3 years for QA QMS, 2-6 years for Aseptic Technicians, 2-12 years for Engineering & Maintenance, and 5-9 years for QA/QC Bio-manufacturing). Salary/CTC: Not publicly stated.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ivenia Lifesciences,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
J B Chemicals & Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://jbpharma.com/contact-us/,careers@jbpharma.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
J K Helene Curtis Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
J K Pharmachem,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Jagsonpal Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/jobs/view/manager-sr-manager-%E2%80%93-medical-services-medical-affairs-medico-marketing-at-jagsonpal-pharmaceuticals-ltd-4147110630,ashish.thakur@jagsonpal.com,+919821206646 (https://in.linkedin.com/jobs/view/manager-sr-manager-%E2%80%93-medical-services-medical-affairs-medico-marketing-at-jagsonpal-pharmaceuticals-ltd-4147110630),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Jamkas Pharmaceuticals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmajobspost.in/jamkas-pharmaceuticals-recruitment-2026-multiple-job-openings/,hr@jamkaspharma.com,"+91 70185 78894, +91 95419 13465 - https://pharmajobspost.in/jamkas-pharmaceuticals-recruitment-2026-multiple-job-openings/","Experience: 1+ years to 6+ years across multiple positions (Wetlab Analyst: 1+ yrs; HPLC Analyst, Officer - Production, IPQA: 3+ yrs; Production QMS: 6+ yrs). Salary/CTC: Not publicly stated.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Jeevansathi Pharmaceuticals,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Jenburkt Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/jenburkt_jenburktpharmaceuticals-nowhiring-lifesciences-activity-7397857615390781440-BYLR,hr@jenburkt.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Jubilant Pharmova Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.jubilantpharmova.com/careers/fraud-alert-statement,support@jubl.com,+91 120 4361000 (https://www.jubilantpharmova.com/careers/fraud-alert-statement),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Jupiter Life Sciences Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.facebook.com/jupiterlife/,jupiterlife@ymail.com,+91 7986052219 (https://www.facebook.com/jupiterlife/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kachhela Global,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kachhela Medex Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kaiser Drugs Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/posts/kaiser-drugs-private-limited_we-are-hiring-contact-us-at-91-9554962313-activity-7281939881252020224-3NXk,kaiserlko@gmail.com,+91 9554962313 (https://in.linkedin.com/posts/kaiser-drugs-private-limited_we-are-hiring-contact-us-at-91-9554962313-activity-7281939881252020224-3NXk),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kamal Lifesciences,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://kamallifescience.com/career.html,info@kamallifescience.com,+919867006732 (https://kamallifescience.com/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Karnataka Antibiotics & Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kavita Pharmaceutical Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kewal Kiran Clothing Limited,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.kewalkiran.com/career.php,hr@kewalkiran.com,"+91 22 6901 4400, https://www.kewalkiran.com/career.php",Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Khandelwal Laboratories Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.sidculindustries.com/khandelwal-laboratories-pvt-ltd-pantnagar-rudrapur/,hrd@khandelwallab.com,022 4925 2828 (https://www.khandelwallab.com/contact.html),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kinedex Healthcare,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kopran Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://kopran.com/wp-content/uploads/2025/10/Kopran_BRSR-Report_2024-25.pdf,Not publicly verified,"+91-89800-18202, https://www.kopran.com/contact-us/",Experience: 2–8 years (Officer/Executive roles in Production and QC); Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Koye Pharmaceuticals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.koye.co/Home/Career,info@koye.co,"+912268661200, https://www.koye.co/Home/Career",Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Krishlar Pharmaceuticals,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Krishlar Remedies,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.krishlarpharma.com/contact-us/,krishlarpharmaceutical@gmail.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kusum Healthcare Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91-11-41005147 (https://kusumhealthcare.com/contact-kusum-healthcare/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Kusum Healthcare Pvt. Ltd. (Kusum Pharm),Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.pharmatutor.org/content/june-2026/pharma-and-science-jobs-in-qc-production-store-and-qa-at-kusum-healthcare,prashant.singh@kusum.com,+91 9251554109 (https://pharmabharat.com/0-4-years-exp-join-kusum-healthcare-is-hiring-for-production-department/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lactose India Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmabharat.com/lactose-india-limited-is-hiring-for-production-fd-jobs/,vinayak@lactoseindialimited.com,Not publicly verified,"Experience: 0-1 year for QC Microbiology, 3-4 years for R&D/Process Development, and 5-6 years for Production/F&D; Salary: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Laurel Laboratories Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Laurus Labs Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.laurusgenerics.us/careers.html,talents@lauruslabs.com,833-352-8787 (https://www.laurusgenerics.us/careers.html),Experience: 2 to 7 years for technical and QA/production roles; Salary/CTC: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Leeford Healthcare Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/adil-arfi-7a7a0311_leeford-at-a-glance-activity-7277188586708316160-9ltj,talent@leeford.in,9875961129 (https://www.linkedin.com/posts/adil-arfi-7a7a0311_leeford-at-a-glance-activity-7277188586708316160-9ltj) ; 9875961165 (https://www.instagram.com/p/DYeENUfFE5v/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lepro Herbals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lezaa Biotech,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://lezaabiotech.com/contact-us/,lezaabiotech@gmail.com,+91 94681 88437 (https://lezaabiotech.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lifecare Neuro Products Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmajobspost.in/lifecare-neuro-product-ltd-hiring-2026-fd-qa-qc-rm-store-production-jobs-in-baddi/,hr@lifecareneuro.com,+91 7018994788 - https://pharmajobspost.in/lifecare-neuro-product-ltd-hiring-2026-fd-qa-qc-rm-store-production-jobs-in-baddi/,"Experience: 1–10 years depending on department and role (e.g., 1–2 years for officers/chemists, 3–4 years for senior research associates, 7–10 years for senior executives/operators). Salary: Ranges from 15,000 to 65,000 INR per month, negotiable for deserving candidates.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lifevision Healthcare,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.lifevisionbaddi.com/career-with-us/,enquiry@lifevisionhealthcarechd.com,+91-8062750200 (https://www.lifevisionbaddi.com/career-with-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lincoln Parenteral Ltd.,"QA (Officer / Sr. Officer / Executive) and Production (Officer / Sr. Officer) walk-in interview roles dated August 11–23, 2026 at Khatraj API Plant, Gandhinagar",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.lincolnpharma.com/careers/,hr@lincolnpharma.com,+91-79-41078000 (https://www.lincolnpharma.com/contact/),Experience: 1 to 5 Years; Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lincoln Pharmaceuticals Ltd.,"QA, QC, and Production (Officer / Sr. Officer / Executive) walk-in interviews held from August 11 to August 23, 2026 (except Thursday) at Khatraj API Plant, Gujarat",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.lincolnpharma.com/contact/ ; https://www.lincolnpharma.com/job-openings/ ; https://www.linkedin.com/posts/lincoln-pharmaceuticals-ltd_hiringnow-pharmaceuticalindustry-pharmahiring-activity-7492831397720666113-tMfl,info@lincolnpharma.com,+91-79-41078000 - https://www.lincolnpharma.com/contact/,Experience: 1–5 Years; Qualification and Salary/CTC: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Liva Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lupin Biologics Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://careers.lupin.com/,careers@lupin.com,+91 22 66402113 (https://careers.lupin.com/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lupin Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.lupin.com/contact-us,careers@lupin.com,+91 22 6640 2323 https://www.lupin.com/contact-us ; +91 22 6640 2323 (https://www.lupin.com/contact-us),"Experience: 1–7 years in QA/Production/OSD; Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc; Salary/CTC: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Lyka Labs Ltd.,"QA, QC & Production (Lyo Operator) vacancy verified for walk-in interview on August 11, 2026 at Ankleshwar, Gujarat (Aug 16–29 window: Not verified)",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmastuff.org/job/lyka-labs-walk-in-qc-qa-production ; https://pharmabharat.com/lyka-labs-limited-is-hiring-for-qc-qa-production-jobs/,recruit.ank@lykalabs.com,9904402560 / 8896323168 https://pharmastuff.org/job/lyka-labs-walk-in-qc-qa-production,"B.Sc, M.Sc, B.Pharm, M.Pharm, ITI with 1 to 13 years of experience (IPQA Officer: 1–3 years; QC HPLC: 1–5 years; QMS Executive: 1–5 years; Lyo Operator: Freshers); Salary: ₹2.4 LPA – ₹12 LPA",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Maan Medex Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Macleods Pharmaceuticals Ltd.,"Walk-in interview on 23rd August 2026 for Quality Control (OSD, Oncology-API) and Quality Assurance (OSD) departments (Indore Plant venue: Phoenix Luxury Inn, Pithampur), requiring 3–9 years and 9–14 years experience in GLP, Stability, QMS, Qualification, and Process Validation. || Quality Assurance – OSD (Officer / Sr. Officer / Executive / Sr. Executive) walk-in interview on 23rd August 2026 || Quality Assurance (OSD) and Quality Control (OSD / Oncology-API) Officer / Sr. Officer / Executive / Sr. Executive roles via Walk-In Interview on 23 August 2026 at Indore, MP",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.macleodspharma.com/careers/ ; https://www.macleodspharma.com/contact-us/,jobs@macleodspharma.com,Not publicly verified,Experience: 3-9 years (Officer/Sr. Officer) and 9-14 years (Executive/Sr. Executive). Salary/CTC: Not publicly stated. || Experience: 3–14 Years (depending on position); Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
