Company Name,Public HR / Careers / Recruitment Email,Public Source URL,Public Phone Text (if available),August 16–29 Role / Status,Eligibility / Salary,Verification Note
Srikrishna Pharmaceuticals Ltd.,hrd@srikrishnapharma.com,https://www.srikrishnapharma.com/careers/,+91-40-2720 1101/02 - https://www.srikrishnapharma.com/careers/,Not verified,"1–6 Years; ₹25,000–₹60,000 per month - https://pharmabharat.com/sri-krishna-pharmaceuticals-is-hiring-for-quality-control-api/",Public source-cited HR/careers-context contact. Confirm with company before applying.
Strava Healthcare Pvt. Ltd.,corp.hr@stravahealthcare.com,https://stravahealthcare.com/career/,Not publicly verified,Not verified,Experience: 1–3 Years (Officer) / 4–6 Years (Executive); Qualification: B.Pharm / M.Sc. for QA and Production roles; Salary/CTC: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Strava Healthcare Pvt. Ltd.,hrd@stravahealthcare.com,https://stravahealthcare.com/career/,Not publicly verified,Not verified,Experience: 1–3 Years (Officer) / 4–6 Years (Executive); Qualification: B.Pharm / M.Sc. for QA and Production roles; Salary/CTC: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Strides Pharma Science Ltd.,hr@strides.com,https://www.allpharmacyjobs.in/pharmacy-jobs-vacancy-hiring-for-quality-control-executive-strides-pharma/,Not verified,Not verified,1-3 Years experience; Salary/CTC not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sudeep Pharma Pvt. Ltd.,career@sudeepgroup.com,https://www.sudeeppharma.com/jobs/manager-production/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sun Pharmaceutical Industries Ltd.,akash.gogoi@sunpharma.com,https://pharmabharat.com/sun-pharma-is-hiring-freshers-experienced-for-osd-production-warehouse-engineering-qc-and-qa/,+91 8473959757 (https://pharmabharat.com/sun-pharma-is-hiring-freshers-experienced-for-osd-production-warehouse-engineering-qc-and-qa/),"Walk-in drive on 16 August 2026 for OSD Production, Non-OSD Production, Warehouse, Engineering, Quality Control (QC), and Quality Assurance (QA) departments at Eco Paradise and Resort, Mining Ground, Rangpo, Sikkim (conducted by Sun Pharma Guwahati).",Experience: Freshers & Experienced (2–15 years); Salary: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sun Pharmaceutical Industries Ltd.,recruitment.dadra@sunpharma.com,https://careers.sunpharma.com/job/Walk-in-interview-at-Bharuch-on-090826/58463244/,Not publicly verified,Not verified,"Experience: 0-5 years (Apprentice/Technician) to 4-8 years (Officer/Sr. Officer/Executive in OSD Manufacturing, Packing & QC). Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc, ITI, Diploma. Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Swiss Parenterals Ltd.,hr1@swiss.in,https://www.pharmatutor.org/content/april-2026/swiss-parenterals-hiring-for-quality-assurance-department,"+91-9099048661, +91-6352978952 (explicit recruitment/WhatsApp numbers from hiring notices)",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Swiss Parenterals Ltd.,recruitment@swiss.in,https://www.pharmatutor.org/content/april-2026/swiss-parenterals-hiring-for-quality-assurance-department,"+91-9099048661, +91-6352978952 (explicit recruitment/WhatsApp numbers from hiring notices)",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Synokem Pharmaceuticals Ltd.,career@synokempharma.com,https://www.synokempharma.com/career,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
SynZeal Research Pvt. Ltd.,recruitment@synzeal.com,https://www.synzeal.com/en/career,+91-7969-225-400 (Source: https://www.synzeal.com/en/career),"Executive - QC Walk-in Interview on 17 August 2026 at SynZeal Research Park, Rajoda, Bavla, Ahmedabad",Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Themis Medicare Ltd.,hr@themismedicare.com,https://in.linkedin.com/company/themismedicare,+91.22.67607080,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Titan Laboratories Pvt. Ltd.,careers@titanpharma.com,https://titan-lab.com/career.php,+91-22-67857000 (Corporate Office) / Walk-in: 8655355868,"Walk-in interview on 16 August 2026 for Formulation Production, Quality Assurance (QA), Quality Control (QC), and Engineering at Suba Elite Hotel, Vadodara, Gujarat",Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Torrent Pharmaceuticals Ltd.,hr@torrentpharma.com,https://www.linkedin.com/posts/torrent-pharmaceuticals-ltd_to-be-a-part-of-torrent-pharma-email-us-your-activity-6244026107180474368-bthF,Not publicly verified,"QA, Production, and OSD Manufacturing roles via walk-in interviews on 2nd August 2026 and 9th August 2026 in Gujarat (Sanand and Bharuch plants)","Experience: 1–5 years / 2–6 years; Qualification: B.Pharm, M.Pharm, M.Sc, Diploma; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Torrent Pharmaceuticals Ltd.,hrindrad@torrentpharma.com,https://www.linkedin.com/posts/torrent-pharmaceuticals-ltd_to-be-a-part-of-torrent-pharma-email-us-your-activity-6244026107180474368-bthF,+91 79-26599000 (https://www.torrentpharma.com/careers/join-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Troikaa Pharmaceuticals Ltd.,recruitment@troikaapharma.com,https://www.troikaa.com/careers/,Not publicly verified,Quality Control / Analytical / Packing positions walk-in interview on 23 August 2026,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Umedica Laboratories Ltd.,career@umedicalabs.com,https://jobpinch.com/umedica-laboratories-walk-in-interview-2026/,Not publicly verified,Not verified,"Experience: 2-5 Years; Qualification: ITI, Diploma, B.Sc, M.Sc, B.Pharm, M.Pharm, B.E.; Salary: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Umedica Laboratories Ltd.,hrd@umedicalabs.com,https://www.umedicalabs.com/careers.html,Not verified,Not verified,Experience: 2 to 7 Years; Salary: As Per Company Norms,Public source-cited HR/careers-context contact. Confirm with company before applying.
Unichem Laboratories Ltd.,hrgoa@unichemlabs.com,https://www.jobavailables.com/2026/08/unichem-laboratories-walk-in-interview.html,Not verified,"Quality Assurance (QA), Quality Control (QC), Production, and Materials (Officer, Sr. Officer, Technician positions) walk-in interview drive on August 23, 2026 at Grace Majestic, Margao, Goa.",1 to 3 years experience required; salary/CTC not publicly stated.,Public source-cited HR/careers-context contact. Confirm with company before applying.
Unijules Life Sciences Ltd.,hrd@unijules.com,https://www.unijules.com/carrers.php,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Unison Pharmaceuticals Pvt. Ltd.,careers@unisonpharmaceuticals.com,https://pharmabharat.com/unison-pharma-walk-in-interview-for-quality-control-jobs/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
USV Private Ltd.,hrd@usv.in,https://www.usvindia.com/contact-us,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Venus Remedies Ltd.,career@venusremedies.com,https://venusremedies.com/blog/we-are-hiring,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Venus Remedies Ltd.,recruitment@venusremedies.com,https://venusremedies.com/blog/we-are-hiring,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
VHB Life Sciences Ltd.,nisha.ram@vhbgroup.com,https://pharmabharat.com/vhb-medi-sciences-hiring-for-freshers-in-production-qa-qc-micro/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Viatris Healthcare Ltd.,hrservicecenter@viatris.com,https://www.viatris.com/en/newsroom/contact-us,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Vimal Life Sciences Pvt. Ltd.,careers@vimallifesciences.com,https://www.vimallifesciences.com/contact-us/,+91 22 4355 1100 (Source: https://www.vimallifesciences.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Vital Therapeutics & Formulations Pvt. Ltd.,hr@vitalpharma.in,https://pharmajobalert.in/walk-in-on-august-18th-19th-2026-itidiplomabscb-commbab-pharmmpharmb-tech-at-vital-therapeutics-and-formulations-pvt-ltd/,+91 9666 977 644 (https://pharmajobalert.in/walk-in-on-august-18th-19th-2026-itidiplomabscb-commbab-pharmmpharmb-tech-at-vital-therapeutics-and-formulations-pvt-ltd/),"Walk-in interviews / recruitment drive on August 18th–19th, 2026 for production, OSD manufacturing, and technical roles at Secunderabad facility.",Experience: 1–7 years; Salary/CTC: Not publicly stated.,Public source-cited HR/careers-context contact. Confirm with company before applying.
West-Coast Pharmaceutical Works Ltd.,hrdho@westcoastin.com,https://pharmastuff.org/job/west-coast-pharmaceutical-works-production-qa-qc-recruitment,Not publicly verified,"Walk-In Interview on 18 August 2026 for Production (OSD), Quality Assurance (IPQA & QMS), and Quality Control at Gota, Ahmedabad","B.Pharm, M.Sc, M.Pharm, ITI with 0–8 years experience (Freshers & Experienced eligible); Salary/CTC not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Windlas Biotech Ltd.,hr@windlasbiotech.com,https://jobpinch.com/windlas-biotech-jobs-2026/,+91 8006566294,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Wintac Ltd.,hr@somersetlimited.com,https://somersetlimited.com/career/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Wockhardt Ltd.,career@wockhardt.com,https://www.wockhardt.com/careers/careerwockhardt/,0260-7126500 / 9173800427 | https://pharmajobalert.in/wockhardt-walk-in-on-12th-july-2026-for-multiple-positions/,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Yash Pharma Laboratories Pvt. Ltd.,regulatory2@yashpharma.com,https://pharmabharat.org/yash-pharma-laboratories-hiring-for-regulatory-affairs-executive/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Yashoda Hospitals Pharma Division,recruitment@yashodamail.com,https://www.instagram.com/reel/DTAYN_8j5my/,9703321354,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Zenara Pharma Pvt. Ltd.,hrd@zenara.com,https://www.instagram.com/reel/Db-Ryiootld/,"+91-7337363325, https://www.instagram.com/reel/Db-Ryiootld/",Not verified,Quality Assurance: 2–10 years experience; Salary/CTC: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Zenotech Laboratories Ltd.,hr1@zenotech.co.in,https://pharmawisdom.co.in/zenotech-laboratories-walk-in-on-6th-7th-8th-aug-2026/,7995333775 (WhatsApp Queries),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Zuventus Healthcare Ltd.,hr.plant@zuventus.com,https://zuventuscareers.peoplestrong.com/job/detail/ZUV_-E-HR_982330,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
